PSize;PSizeBranch;OD;OD2;thk;thk2;C;M
DN15;DN15;21.336;21.336;2.413;2.413;25;25
DN20;DN20;26.67;26.67;2.413;2.413;29;29
DN25;DN25;33.401;33.401;2.8956;2.8956;38;38
DN32;DN32;42.164;42.164;2.9718;2.9718;48;48
DN40;DN40;48.26;48.26;3.175;3.175;57;57
DN50;DN50;60.325;60.325;3.175;3.175;64;64
DN65;DN65;73.025;73.025;4.7752;4.7752;76;76
DN80;DN80;88.9;88.9;4.7752;4.7752;86;86
DN90;DN90;101.6;101.6;4.7752;4.7752;95;95
DN100;DN100;114.3;114.3;4.7752;4.7752;105;105
DN200;DN200;219.075;219.075;7.0358;7.0358;178;178
DN250;DN250;273.05;273.05;7.7978;7.7978;216;216
DN300;DN300;323.85;323.85;8.382;8.382;254;254
DN350;DN350;355.6;355.6;9.525;9.525;279;279
DN400;DN400;406.4;406.4;9.525;9.525;305;305
DN450;DN450;457.2;457.2;11.1252;11.1252;343;343
DN500;DN500;508;508;12.7;12.7;381;381
DN550;DN550;558.8;558.8;12.7;12.7;419;419
DN600;DN600;609.6;609.6;14.2748;14.2748;432;432
DN15;DN10;21.336;17.145;2.413;1.8542;25;25
DN20;DN15;26.67;21.336;2.413;2.413;29;29
DN20;DN10;26.67;17.145;2.413;1.8542;29;29
DN25;DN20;33.401;26.67;2.8956;2.413;38;38
DN25;DN15;33.401;21.336;2.8956;2.413;38;38
DN32;DN25;42.164;33.401;2.9718;2.8956;48;48
DN32;DN20;42.164;26.67;2.9718;2.413;48;48
DN32;DN15;42.164;21.336;2.9718;2.413;48;48
DN40;DN40;48.26;48.26;3.175;3.175;57;57
DN40;DN25;48.26;33.401;3.175;2.8956;57;57
DN40;DN20;48.26;26.67;3.175;2.413;57;57
DN40;DN15;48.26;21.336;3.175;2.413;57;57
DN50;DN40;60.325;48.26;3.175;3.175;64;60
DN50;DN32;60.325;42.164;3.175;2.9718;64;57
DN50;DN25;60.325;33.401;3.175;2.8956;64;51
DN50;DN20;60.325;26.67;3.175;2.413;64;44
DN65;DN50;73.025;60.325;4.7752;3.175;76;70
DN65;DN40;73.025;48.26;4.7752;3.175;76;67
DN65;DN32;73.025;42.164;4.7752;2.9718;76;64
DN65;DN25;73.025;33.401;4.7752;2.8956;76;57
DN80;DN65;88.9;73.025;4.7752;4.7752;86;83
DN80;DN50;88.9;60.325;4.7752;3.175;86;76
DN80;DN40;88.9;48.26;4.7752;3.175;86;73
DN80;DN32;88.9;42.164;4.7752;2.9718;86;70
DN90;DN80;101.6;88.9;4.7752;4.7752;95;92
DN90;DN65;101.6;73.025;4.7752;4.7752;95;89
DN90;DN50;101.6;60.325;4.7752;3.175;95;83
DN90;DN40;101.6;48.26;4.7752;3.175;95;79
DN100;DN90;114.3;101.6;4.7752;4.7752;105;102
DN100;DN80;114.3;88.9;4.7752;4.7752;105;98
DN100;DN65;114.3;73.025;4.7752;4.7752;105;95
DN100;DN50;114.3;60.325;4.7752;3.175;105;89
DN100;DN40;114.3;48.26;4.7752;3.175;105;86
DN200;DN100;219.075;114.3;7.0358;4.7752;178;156
DN200;DN90;219.075;101.6;7.0358;4.7752;178;152
DN250;DN200;273.05;219.075;7.7978;7.0358;216;203
DN250;DN100;273.05;114.3;7.7978;4.7752;216;184
DN300;DN250;323.85;273.05;8.382;7.7978;254;241
DN300;DN200;323.85;219.075;8.382;7.0358;254;229
DN350;DN300;355.6;323.85;9.525;8.382;279;270
DN350;DN250;355.6;273.05;9.525;7.7978;279;257
DN350;DN200;355.6;219.075;9.525;7.0358;279;248
DN400;DN350;406.4;355.6;9.525;9.525;305;305
DN400;DN300;406.4;323.85;9.525;8.382;305;295
DN400;DN250;406.4;273.05;9.525;7.7978;305;283
DN400;DN200;406.4;219.075;9.525;7.0358;305;273
DN450;DN400;457.2;406.4;11.1252;9.525;343;330
DN450;DN350;457.2;355.6;11.1252;9.525;343;330
DN450;DN300;457.2;323.85;11.1252;8.382;343;321
DN450;DN250;457.2;273.05;11.1252;7.7978;343;308
DN450;DN200;457.2;219.075;11.1252;7.0358;343;298
DN500;DN450;508;457.2;12.7;11.1252;381;368
DN500;DN400;508;406.4;12.7;9.525;381;356
DN500;DN350;508;355.6;12.7;9.525;381;356
DN500;DN300;508;323.85;12.7;8.382;381;346
DN500;DN250;508;273.05;12.7;7.7978;381;333
DN500;DN200;508;219.075;12.7;7.0358;381;324
DN550;DN500;558.8;508;12.7;12.7;419;406
DN550;DN450;558.8;457.2;12.7;11.1252;419;394
DN550;DN400;558.8;406.4;12.7;9.525;419;381
DN550;DN350;558.8;355.6;12.7;9.525;419;381
DN550;DN300;558.8;323.85;12.7;8.382;419;371
DN550;DN250;558.8;273.05;12.7;7.7978;419;359
DN600;DN550;609.6;558.8;14.2748;12.7;432;432
DN600;DN500;609.6;508;14.2748;12.7;432;432
DN600;DN450;609.6;457.2;14.2748;11.1252;432;419
DN600;DN400;609.6;406.4;14.2748;9.525;432;406
DN600;DN350;609.6;355.6;14.2748;9.525;432;406
DN600;DN300;609.6;323.85;14.2748;8.382;432;397
DN600;DN250;609.6;273.05;14.2748;7.7978;432;384
